Real Emotion,Predicted Emotion,Tweet
Neutral,Enthusiasm,"18000239,""Democrats refusal to give even one vote for massive Tax Cuts is why we need Republican Roy Moore to win in Alabama. We need his vote on stopping crime, illegal immigration, Border Wall, Military, Pro Life, V.A., Judges 2nd Amendment and more. No to Jones, a Pelosi/Schumer Puppet!""
"
Worry,Enthusiasm,"18000240,Report: “ANTI-TRUMP FBI AGENT LED CLINTON EMAIL PROBE”  Now it all starts to make sense!
"
Worry,Enthusiasm,"18000242,""After years of Comey, with the phony and dishonest Clinton investigation (and more), running the FBI, its reputation is in Tatters - worst in History! But fear not, we will bring it back to greatness.""
"
Worry,Anger,"18000245,I never asked Comey to stop investigating Flynn. Just more Fake News covering another Comey lie!
"
Worry,Neutral,"18000248,""So General Flynn lies to the FBI and his life is destroyed, while Crooked Hillary Clinton, on that now famous FBI holiday “interrogation” with no swearing in and no recording, lies many times...and nothing happens to her? Rigged system, or just a double standard?""
"
Worry,Happiness,"18000249,Great job First Lady Melania! https://t.co/TRuvaftPcD
"
Neutral,Happiness,"18000254,Economists on the TAX CUTS and JOBS ACT:
"
Worry,Neutral,"18000256,""The media has been speculating that I fired Rex Tillerson or that he would be leaving soon - FAKE NEWS! He’s not leaving and while we disagree on certain subjects, (I call the final shots) we work well together and America is highly respected again!""
"
Worry,Enthusiasm,"18000260,""The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and being violent, and yet this info was not used in court. His exoneration is a complete travesty of justice. BUILD THE WALL!""
"
Worry,Happiness,"18000261,A disgraceful verdict in the Kate Steinle case! No wonder the people of our Country are so angry with Illegal Immigration.
"
Happiness,Neutral,"18000264,Today is a day that I’ve been looking very much forward to ALL YEAR LONG. It is one that you have heard me speak about many times before. 
"
Love,Enthusiasm,"18000270,Thank you @SenOrrinHatch. Let’s continue MAKING AMERICA GREAT AGAIN! https://t.co/PIv9OAVZcf https://t.co/6egRvuwj1l
"
Relief,Neutral,"18000272,Stock Market hits new Record High. Confidence and enthusiasm abound. More great numbers coming out!
"
Worry,Enthusiasm,"18000275,""The Failing @nytimes, the pipe organ for the Democrat Party, has become a virtual lobbyist for them with regard to our massive Tax Cut Bill. They are wrong so often that now I know we have a winner!""
"
Worry,Neutral,"18000277,""“Had the information (Crooked Hillary’s emails) been released there would have been harm to National Security....""""""
"
Sadness,Neutral,"18000280,The only people who don’t like the Tax Cut Bill are the people that don’t understand it or the Obstructionist Democrats that know how really good it is and do not want the credit and success to go to the Republicans!
"
Worry,Love,"18000281,The House of Representatives seeks contempt citations(?) against the JusticeDepartment and the FBI for withholding key documents and an FBI witness which could shed light on surveillance of associates of Donald Trump. Big stuff. Deep State. Give this information NOW! @FoxNews
"
Worry,Empty,"18000282,"".@Theresa_May, don’t focus on me, focus on the destructive Radical Islamic Terrorism that is taking place within the United Kingdom. We are doing just fine!""
"
Worry,Neutral,"18000297,""Great, and we should boycott Fake News CNN. Dealing with them is a total waste of time! https://t.co/8zJ3j7g5el""
"
Worry,Anger,"18000310,""At least 24 players kneeling this weekend at NFL stadiums that are now having a very hard time filling up. The American public is fed up with the disrespect the NFL is paying to our Country, our Flag and our National Anthem. Weak and out of control!""
"
Surprise,Neutral,"18000312,New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us the much needed Tax Cuts to keep it all going! Democrats want big Tax Increases.
"
Fun,Neutral,"18000320,""Wow, even I didn’t realize we did so much. Wish the Fake News would report! Thank you. https://t.co/ApVbu2b0Jd""
"
Worry,Neutral,"18000321,"".@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still a major source of (Fake) news, and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!""
"
Neutral,Empty,"18000324,Happy #SmallBusinessSaturday!
"
Empty,Happiness,"18000332,Two great people! https://t.co/5cVnMhnmuH
"
Worry,Enthusiasm,"18000354,Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long and they do not want to disappoint the American public!
"
Relief,Enthusiasm,"18000367,""Great numbers on Stocks and the Economy. If we get Tax Cuts and Reform, we'll really see some great results!""
"
Anger,Neutral,"18000370,""Big win today in the House for GOP Tax Cuts and Reform, 227-205. Zero Dems, they want to raise taxes much higher, but not for our military!""
"
Relief,Enthusiasm,"18000376,Big vote tomorrow in the House. Tax cuts are getting close!
"
Anger,Empty,"18000381,Do you think the three UCLA Basketball Players will say thank you President Trump? They were headed for 10 years in jail!
"
Empty,Neutral,"18000383,""Thank you, working hard! https://t.co/TmNdNPBJ3m""
"
Neutral,Empty,"18000388,THANK YOU ASIA! #USA🇺🇸 https://t.co/FziKSbrzcu
"
Relief,Enthusiasm,"18000394,Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!
"
Empty,Neutral,"18000403,""Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo""
"
Empty,Neutral,"18000436,Join me LIVE in South Korea🇺🇸🇰🇷
"
Empty,Enthusiasm,"18000445,....and has been horrible on Virginia economy. Vote @EdWGillespie today!
"
Neutral,Happiness,"18000447,""....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!""
"
Fun,Happiness,"18000450,""It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷 https://t.co/5NJirz4iNM https://t.co/kNLyONhBCC""
"
Enthusiasm,Neutral,"18000453,""Getting ready to leave for South Korea and meetings with President Moon, a fine gentleman. We will figure it all out!""
"
Empty,Happiness,"18000466,Thank you to our GREAT Military/Veterans and @PacificCommand.
"
Empty,Happiness,"18000468,A day I’ll never forget. https://t.co/CMkB0kTkSc
"
Empty,Happiness,"18000472,""JOBS, JOBS, JOBS! https://t.co/twUNktGbnb""
"
Enthusiasm,Neutral,"18000474,""Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp; the Philippines. Will never let you down!""
"
Neutral,Happiness,"18000492,""Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapore back to the U.S.A..... https://t.co/WrqUXBndyZ""
"
Neutral,Happiness,"18000495,""Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi""
"
Neutral,Happiness,"18000500,""Happy birthday to @garyplayer, a truly great Champion and Person!""
"
Anger,Enthusiasm,"18000504,""CHAIN MIGRATION must end now! Some people come in, and they bring their whole family with them, who can be truly evil. NOT ACCEPTABLE! https://t.co/PQGeTTdRtX""
"
Empty,Enthusiasm,"18000511,....for the Middle Class. The House and Senate should consider ASAP as the process of final approval moves along. Push Biggest Tax Cuts EVER
"
Fun,Happiness,"18000512,Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....
"
Empty,Neutral,"18000523,Up📈7.8% past year. 
"
Empty,Enthusiasm,"18000524,Down📉31.5% last 10 years. 
"
Empty,Happiness,"18000539,Great job by MichaelCaputo on @foxandfriends.
"
Worry,Neutral,"18000540,""Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!""
"
Worry,Enthusiasm,"18000541,""All of this """"Russia"""" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!""
"
Worry,Neutral,"18000554,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!
"
Empty,Neutral,"18000558,NOW WE KNOW! https://t.co/SgWL1HZmkI
"
Relief,Happiness,"18000564,""Diane Black of Tennessee, the highly respected House Budget Committee Chairwoman, did a GREAT job in passing Budget, setting up big Tax Cuts""
"
Hate,Enthusiasm,"18000572,""Wacky &amp; totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!""
"
Relief,Happiness,"18000575,Big news - Budget just passed!
"
